name,url,domain,status,first_seen,last_checked,source
Canva AI Video,https://www.canva.com/features/ai-video-generator/,canva.com,ok,2026-07-08T10:07:24.690069+00:00,2026-07-09T13:24:49.262800+00:00,seed
CapCut,https://www.capcut.com,capcut.com,ok,2026-07-08T10:07:56.291694+00:00,2026-07-09T13:25:35.982191+00:00,seed
Google Veo (AI Studio),https://aistudio.google.com,aistudio.google.com,ok,2026-07-08T10:07:59.373195+00:00,2026-07-09T13:25:40.646215+00:00,seed
Haiper AI,https://haiper.ai,haiper.ai,ok,2026-07-08T10:08:02.242177+00:00,2026-07-09T13:25:45.437368+00:00,seed
HeyGen,https://www.heygen.com,heygen.com,ok,2026-07-08T10:07:21.952839+00:00,2026-07-09T13:24:44.340643+00:00,seed
InVideo AI,https://invideo.io/ai/,invideo.io,ok,2026-07-08T10:07:53.206987+00:00,2026-07-09T13:25:30.981861+00:00,seed
Kling AI,https://klingai.com,klingai.com,ok,2026-07-08T10:07:50.138490+00:00,2026-07-09T13:25:26.112632+00:00,seed
Luma Dream Machine,https://lumalabs.ai/dream-machine,lumalabs.ai,ok,2026-07-08T10:07:40.330651+00:00,2026-07-09T13:25:08.153741+00:00,seed
Magic Hour,https://magichour.ai/products/text-to-video,magichour.ai,ok,2026-07-08T10:07:33.979471+00:00,2026-07-09T13:24:58.750556+00:00,seed
MakeShot AI,https://makeshot.ai,makeshot.ai,ok,2026-07-08T10:07:30.765307+00:00,2026-07-09T13:24:53.779462+00:00,seed
Pika,https://pika.art,pika.art,ok,2026-07-08T10:07:46.130918+00:00,2026-07-09T13:25:18.282777+00:00,seed
Pixverse,https://pixverse.ai,pixverse.ai,ok,2026-07-08T10:08:05.045617+00:00,2026-07-09T13:25:50.021290+00:00,seed
Runway,https://runwayml.com,runwayml.com,ok,2026-07-08T10:07:43.172024+00:00,2026-07-09T13:25:13.403170+00:00,seed
Vivideo,https://vivideo.ai,vivideo.ai,ok,2026-07-08T10:07:27.710804+00:00,2026-07-08T10:07:27.710804+00:00,seed
Wireflow,https://www.wireflow.ai,wireflow.ai,ok,2026-07-08T10:07:36.996897+00:00,2026-07-09T13:25:03.190332+00:00,seed
